X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.05260200009,42.3198949997333,647563,door-jfk-sydneys,,JFK/UMass - Sydney St (South),JFK/UMass - Sydney St (South),,,42.319895,-71.052602,,,,level_in_street,2,place-jfk,2,Boston,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0951690003072,42.3489489998777,647565,70150,70150,Kenmore,Kenmore - Green Line - Park Street & North,,Park Street & North,42.348949,-71.095169,RapidTransit,,https://www.mbta.com/stops/place-kencl,level_-2_platform,0,place-kencl,1,Boston,,,0,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0951690003072,42.3489489998777,647566,70151,70151,Kenmore,"Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",,"Cleveland Circle, Riverside",42.348949,-71.095169,RapidTransit,,https://www.mbta.com/stops/place-kencl,level_-2_platform,0,place-kencl,1,Boston,,,0,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0951690003072,42.3489489998777,647567,71150,71150,Kenmore,Kenmore - Green Line - Park Street & North,,Park Street & North,42.348949,-71.095169,RapidTransit,,https://www.mbta.com/stops/place-kencl,level_-2_platform,0,place-kencl,1,Boston,,,0,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0951690003072,42.3489489998777,647568,71151,71151,Kenmore,Kenmore - Green Line - (B) Boston College,,Boston College,42.348949,-71.095169,RapidTransit,,https://www.mbta.com/stops/place-kencl,level_-2_platform,0,place-kencl,1,Boston,,,0,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0955490005326,42.3492730003765,647570,door-kencl-beacon,,"Kenmore - Boston University, Beacon St","Kenmore - Boston University, Beacon St",,,42.349273,-71.095549,,,,level_in_street,2,place-kencl,2,Boston,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0954199998245,42.3488820004514,647571,door-kencl-busway,,"Kenmore - Busway, Commonwealth Ave","Kenmore - Busway, Commonwealth Ave",,,42.348882,-71.09542,,,,level_ground,2,place-kencl,1,Boston,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0955199998518,42.3486160003196,647572,door-kencl-commonwealth,,"Kenmore - Fenway Park, Commonwealth Ave","Kenmore - Fenway Park, Commonwealth Ave",,,42.348616,-71.09552,,,,level_in_street,2,place-kencl,1,Boston,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.085604999992,42.3623550000496,647574,70071,70071,Kendall/MIT,Kendall/MIT - Red Line - Ashmont/Braintree,,Ashmont/Braintree,42.362355,-71.085605,RapidTransit,,https://www.mbta.com/stops/place-knncl,level_-1_platform,0,place-knncl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0855910002781,42.3624340003456,647575,70072,70072,Kendall/MIT,Kendall/MIT - Red Line - Alewife,,Alewife,42.362434,-71.085591,RapidTransit,,https://www.mbta.com/stops/place-knncl,level_-1_platform,0,place-knncl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0861670001557,42.3625879997923,647576,door-knncl-nbmain,,"Kendall/MIT - Main St, Buses, Cambridge Center","Kendall/MIT - Main St, Buses, Cambridge Center",,,42.362588,-71.086167,,,,level_in_street,2,place-knncl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0848369994351,42.3624390001863,647577,door-knncl-nbsecond,,"Kendall/MIT - Main St, Third St","Kendall/MIT - Main St, Third St",,,42.362439,-71.084837,,,,level_in_street,2,place-knncl,2,Cambridge,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
